Дата операции,Дата платежа,Номер карты,Статус,Сумма операции,Валюта операции,Сумма платежа,Валюта платежа,Кэшбэк,Категория,MCC,Описание,Бонусы (включая кэшбэк),Округление на инвесткопилку,Сумма операции с округлением
2018-09-08 11:31:26,10.09.2018,*7197,OK,-54.8,RUB,-54.8,RUB,,Супермаркеты,5411.0,Магнит,1,0,54.8
2018-09-08 11:22:04,10.09.2018,*7197,OK,-226.4,RUB,-226.4,RUB,,Супермаркеты,5411.0,SPAR,4,0,226.4
2018-09-08 09:48:20,10.09.2018,*7197,OK,-118.0,RUB,-118.0,RUB,,Супермаркеты,5499.0,Колхоз,2,0,118.0
2018-09-06 17:34:12,08.09.2018,*7197,OK,-78.0,RUB,-78.0,RUB,,Супермаркеты,5499.0,Колхоз,1,0,78.0
2018-09-06 17:28:33,08.09.2018,*7197,OK,-67.9,RUB,-67.9,RUB,,Супермаркеты,5411.0,SPAR,1,0,67.9
2018-09-06 09:05:40,08.09.2018,*7197,OK,-24.64,RUB,-24.64,RUB,,Супермаркеты,5411.0,Магнит,0,0,24.64
2018-09-05 13:44:36,07.09.2018,*7197,OK,-167.63,RUB,-167.63,RUB,,Супермаркеты,5499.0,Колхоз,3,0,167.63
2018-09-05 09:22:20,07.09.2018,*7197,OK,-298.2,RUB,-298.2,RUB,,Супермаркеты,5411.0,SPAR,5,0,298.2
2018-09-04 21:38:43,06.09.2018,*7197,OK,-60.0,RUB,-60.0,RUB,,Супермаркеты,5411.0,Daily food,1,0,60.0
2018-09-04 16:44:50,06.09.2018,*7197,OK,-59.8,RUB,-59.8,RUB,,Супермаркеты,5411.0,SPAR,1,0,59.8
2018-09-04 14:43:19,06.09.2018,*7197,OK,-173.7,RUB,-173.7,RUB,,Супермаркеты,5411.0,SPAR,3,0,173.7
2018-09-04 10:25:21,06.09.2018,*7197,OK,-123.76,RUB,-123.76,RUB,,Супермаркеты,5499.0,Колхоз,2,0,123.76
2018-09-04 10:16:44,06.09.2018,*7197,OK,-79.8,RUB,-79.8,RUB,,Супермаркеты,5411.0,SPAR,1,0,79.8
2018-09-02 12:43:17,04.09.2018,*7197,OK,-78.0,RUB,-78.0,RUB,,Супермаркеты,5499.0,Колхоз,1,0,78.0
2018-09-01 15:07:22,03.09.2018,*7197,OK,-67.9,RUB,-67.9,RUB,,Супермаркеты,5411.0,SPAR,1,0,67.9
2018-08-31 20:09:54,02.09.2018,*7197,OK,-139.8,RUB,-139.8,RUB,,Супермаркеты,5411.0,SPAR,2,0,139.8
2018-08-31 15:54:21,02.09.2018,*7197,OK,-87.39,RUB,-87.39,RUB,,Супермаркеты,5499.0,Колхоз,1,0,87.39
2018-08-31 14:16:02,02.09.2018,*7197,OK,-86.0,RUB,-86.0,RUB,,Супермаркеты,5499.0,Колхоз,1,0,86.0
2018-08-30 18:38:15,01.09.2018,*7197,OK,-95.8,RUB,-95.8,RUB,,Супермаркеты,5411.0,SPAR,1,0,95.8
2018-08-30 17:43:31,01.09.2018,*7197,OK,-259.6,RUB,-259.6,RUB,,Супермаркеты,5411.0,SPAR,5,0,259.6
2018-08-27 13:31:23,30.08.2018,*7197,OK,-69.24,RUB,-69.24,RUB,,Супермаркеты,5411.0,SPAR,1,0,69.24
2018-08-26 20:58:31,30.08.2018,*7197,OK,-113.55,RUB,-113.55,RUB,,Супермаркеты,5411.0,Магнит,2,0,113.55
2018-08-26 17:35:48,30.08.2018,*7197,OK,-98.03,RUB,-98.03,RUB,,Супермаркеты,5411.0,SPAR,1,0,98.03
2018-08-26 15:28:34,30.08.2018,*7197,OK,-229.0,RUB,-229.0,RUB,,Супермаркеты,5411.0,Магнит,4,0,229.0
2018-08-25 15:31:16,29.08.2018,*7197,OK,-109.0,RUB,-109.0,RUB,,Супермаркеты,5411.0,Магнит,2,0,109.0
2018-08-25 10:57:18,29.08.2018,*7197,OK,-72.74,RUB,-72.74,RUB,,Супермаркеты,5411.0,Магнит,1,0,72.74
2018-08-25 10:53:59,29.08.2018,*7197,OK,-154.54,RUB,-154.54,RUB,,Супермаркеты,5411.0,SPAR,3,0,154.54
2018-08-25 10:43:57,29.08.2018,*7197,OK,-39.0,RUB,-39.0,RUB,,Супермаркеты,5499.0,Колхоз,0,0,39.0
2018-08-24 22:38:45,29.08.2018,*7197,OK,-145.37,RUB,-145.37,RUB,,Супермаркеты,5411.0,SPAR,2,0,145.37
2018-08-24 13:54:37,29.08.2018,*7197,OK,-24.5,RUB,-24.5,RUB,,Супермаркеты,5411.0,Магнит,0,0,24.5
2018-08-24 13:49:45,29.08.2018,*7197,OK,-87.91,RUB,-87.91,RUB,,Супермаркеты,5411.0,SPAR,1,0,87.91
2018-08-23 18:29:09,28.08.2018,*7197,OK,-47.0,RUB,-47.0,RUB,,Супермаркеты,5499.0,Колхоз,0,0,47.0
2018-08-23 18:25:39,26.08.2018,*7197,OK,-115.87,RUB,-115.87,RUB,,Супермаркеты,5411.0,SPAR,2,0,115.87
2018-08-22 16:22:37,26.08.2018,*7197,OK,-44.0,RUB,-44.0,RUB,,Супермаркеты,5411.0,Магнит,0,0,44.0
2018-08-22 13:10:09,26.08.2018,*7197,OK,-89.24,RUB,-89.24,RUB,,Супермаркеты,5411.0,Магнит,1,0,89.24
2018-08-22 13:05:36,26.08.2018,*7197,OK,-47.0,RUB,-47.0,RUB,,Супермаркеты,5499.0,Колхоз,0,0,47.0
2018-08-22 13:02:16,26.08.2018,*7197,OK,-333.38,RUB,-333.38,RUB,,Супермаркеты,5411.0,SPAR,6,0,333.38
2018-08-22 12:50:47,25.08.2018,*7197,OK,-725.0,RUB,-725.0,RUB,,Супермаркеты,5499.0,IP Gorskaya Vv,14,0,725.0
2018-08-15 17:40:21,16.08.2018,*7197,OK,-2.11,EUR,-163.53,RUB,,Супермаркеты,5462.0,Martina Bekereja-Anninmui,3,0,163.53
2018-08-12 09:42:13,14.08.2018,*7197,OK,-4.6,EUR,-357.65,RUB,,Супермаркеты,5411.0,Narvesen Baltija 0243,7,0,357.65
2018-08-10 18:34:19,13.08.2018,*7197,OK,-3.99,EUR,-316.41,RUB,,Супермаркеты,5921.0,Mv TRANSveikals/Anninmuiz,6,0,316.41
2018-08-09 15:01:37,11.08.2018,*7197,OK,-132.05,RUB,-132.05,RUB,,Супермаркеты,5411.0,Магнит,2,0,132.05
2018-08-08 22:05:40,10.08.2018,*7197,OK,-127.18,RUB,-127.18,RUB,,Супермаркеты,5411.0,SPAR,2,0,127.18
2018-08-06 13:47:46,08.08.2018,*7197,OK,-59.9,RUB,-59.9,RUB,,Супермаркеты,5411.0,Дикси,1,0,59.9
2018-08-05 13:15:36,07.08.2018,*7197,OK,-9.59,RUB,-9.59,RUB,,Супермаркеты,5411.0,Пятёрочка,0,0,9.59
2018-08-03 13:50:02,05.08.2018,*7197,OK,-41.8,RUB,-41.8,RUB,,Супермаркеты,5411.0,Магнит,0,0,41.8
2018-07-30 18:07:04,01.08.2018,*7197,OK,-24.0,RUB,-24.0,RUB,,Супермаркеты,5411.0,Imperial,0,0,24.0
2018-07-30 11:59:39,01.08.2018,*7197,OK,-999.0,RUB,-999.0,RUB,,Супермаркеты,5411.0,Магнит,19,0,999.0
2018-07-29 15:20:56,31.07.2018,*7197,OK,-78.77,RUB,-78.77,RUB,,Супермаркеты,5411.0,Дикси,1,0,78.77
2018-07-28 15:26:50,30.07.2018,*7197,OK,-546.0,RUB,-546.0,RUB,,Супермаркеты,5411.0,Азбука Вкуса,10,0,546.0
2018-07-28 13:16:17,30.07.2018,*7197,OK,-25.0,RUB,-25.0,RUB,,Супермаркеты,5499.0,Rybnyy Pavilon,0,0,25.0
2018-07-27 10:30:43,29.07.2018,*7197,OK,-126.4,RUB,-126.4,RUB,,Супермаркеты,5411.0,Магнит,2,0,126.4
2018-07-25 14:10:41,27.07.2018,*7197,OK,-119.78,RUB,-119.78,RUB,,Супермаркеты,5411.0,Дикси,2,0,119.78
2018-07-25 14:01:11,27.07.2018,*7197,OK,-367.9,RUB,-367.9,RUB,,Супермаркеты,5411.0,Магнит,7,0,367.9
2018-07-21 01:19:36,23.07.2018,*7197,OK,-834.0,RUB,-834.0,RUB,,Супермаркеты,5411.0,Pasifik Treyd,16,0,834.0
2018-07-20 14:00:30,22.07.2018,*7197,OK,-252.59,RUB,-252.59,RUB,,Супермаркеты,5411.0,Дикси,5,0,252.59
2018-07-15 17:05:04,18.07.2018,*7197,OK,-286.6,RUB,-286.6,RUB,,Супермаркеты,5411.0,Магнит,5,0,286.6
2018-07-13 14:04:33,16.07.2018,*7197,OK,-86.0,RUB,-86.0,RUB,,Супермаркеты,5499.0,Колхоз,1,0,86.0
2018-07-13 14:00:44,15.07.2018,*7197,OK,-595.12,RUB,-595.12,RUB,,Супермаркеты,5411.0,SPAR,11,0,595.12
2018-07-12 17:36:12,14.07.2018,*7197,OK,-685.0,RUB,-685.0,RUB,,Супермаркеты,5411.0,Дикси,13,0,685.0
2018-07-10 20:25:20,12.07.2018,*7197,OK,-340.4,RUB,-340.4,RUB,,Супермаркеты,5411.0,Магнит,6,0,340.4
2018-07-10 15:36:26,12.07.2018,*7197,OK,-27.0,RUB,-27.0,RUB,,Супермаркеты,5499.0,Magazin 25,0,0,27.0
2018-07-10 13:37:08,12.07.2018,*7197,OK,-261.78,RUB,-261.78,RUB,,Супермаркеты,5411.0,Пятёрочка,5,0,261.78
2018-07-08 00:00:00,10.07.2018,*7197,OK,-55.73,RUB,-55.73,RUB,,Супермаркеты,5411.0,Пятёрочка,1,0,55.73
